data-treenm,data-treetype,data-location,data-location-altitude,data-location-accuracy,data-photo,data-remerks,data-dc_name,data-meta-instanceID
Jamun,deciduous,"12.9208559,77.5919255",846,4.832,https://drive.google.com/open?id=1ZAij70OE9F-FBpD0_K9ezpNItDzAMmWV,Good,Bikram,uuid:37916276-c2a4-4b9c-b2f4-d0dd59853a0b
Don't know,deciduous,"12.9208451,77.5919914",846,3.906,https://drive.google.com/open?id=1X5UWWTgbXLeavr3i7XyFxKPygIxg75VJ,Good,Bikram,uuid:be1f6d5d-6718-464e-8854-31247cfd15a9
